event_time,ATT,SE,CI_lo,CI_hi,zero_not_in_cband,outcome,tercil,spec,n_munis_total,n_tratados_tercil
-4,0.09273832656661282,0.127970273942453,-0.1580788014523196,0.34355545458554526,,asinh_cana_direto,T1_baixo,FULL2,684,36
-3,-0.1384935158542729,0.26151529826787234,-0.6510540818655526,0.37406705015700686,,asinh_cana_direto,T1_baixo,FULL2,684,36
-2,0.0974811386592857,0.16317863783428485,-0.22234311454221767,0.4173053918607891,,asinh_cana_direto,T1_baixo,FULL2,684,36
-1,0.05786232516965304,0.17055083743947624,-0.27641117374486585,0.39213582408417197,,asinh_cana_direto,T1_baixo,FULL2,684,36
0,0.2167121901548663,0.19282046058455368,-0.16120896807328394,0.5946333483830166,,asinh_cana_direto,T1_baixo,FULL2,684,36
1,0.29974843675365487,0.23436277984383178,-0.15959417105694512,0.7590910445642549,,asinh_cana_direto,T1_baixo,FULL2,684,36
2,0.21776808163177136,0.18316339858630892,-0.1412255828833488,0.5767617461468915,,asinh_cana_direto,T1_baixo,FULL2,684,36
3,0.3454119775784669,0.3489242822126303,-0.33846704888977824,1.029291004046712,,asinh_cana_direto,T1_baixo,FULL2,684,36
4,0.31592559150825844,0.3346791002535136,-0.3400333913668983,0.9718845743834152,,asinh_cana_direto,T1_baixo,FULL2,684,36
-4,-0.036451686841751575,0.05978107239208736,-0.15362043568742453,0.0807170620039214,,asinh_cana_direto,T2_medio,FULL2,710,62
-3,-0.09775006409324916,0.07189275982534307,-0.2386572841001097,0.043157155913611384,,asinh_cana_direto,T2_medio,FULL2,710,62
-2,0.09989391108371584,0.04909895721627033,0.0036617232613530143,0.19612609890607868,*,asinh_cana_direto,T2_medio,FULL2,710,62
-1,0.026515507468602893,0.030153013573369313,-0.03258331316054836,0.08561432809775416,,asinh_cana_direto,T2_medio,FULL2,710,62
0,0.06594079822966857,0.05510623799772673,-0.042065443569368435,0.1739470400287056,,asinh_cana_direto,T2_medio,FULL2,710,62
1,0.13781138283390054,0.06308965837530013,0.014157924621376508,0.2614648410464246,*,asinh_cana_direto,T2_medio,FULL2,710,62
2,0.1211323501591169,0.07646282060195554,-0.028732024377063223,0.270996724695297,,asinh_cana_direto,T2_medio,FULL2,710,62
3,0.20995899311947344,0.12060448616745988,-0.02642145614270705,0.4463394423816539,,asinh_cana_direto,T2_medio,FULL2,710,62
4,0.3475437981855551,0.1716226874028623,0.011169511945968935,0.6839180844251412,*,asinh_cana_direto,T2_medio,FULL2,710,62
-4,0.05130776443840491,0.05729237933195436,-0.0609832356408326,0.1635987645176424,,asinh_cana_direto,T3_alto,FULL2,744,96
-3,0.08016856480742794,0.08377141595387361,-0.08402039339608842,0.24435752301094432,,asinh_cana_direto,T3_alto,FULL2,744,96
-2,0.04460100085875931,0.08511549275172427,-0.12222229946100027,0.2114243011785189,,asinh_cana_direto,T3_alto,FULL2,744,96
-1,-0.001242015469046404,0.0339691063092806,-0.0678202404222487,0.0653362094841559,,asinh_cana_direto,T3_alto,FULL2,744,96
0,-0.028498169106443767,0.06418377871324174,-0.15429606377608615,0.09729972556319863,,asinh_cana_direto,T3_alto,FULL2,744,96
1,-0.007965174116731746,0.07368138176697674,-0.15237802871115236,0.13644768047768885,,asinh_cana_direto,T3_alto,FULL2,744,96
2,0.07449007867274413,0.06306367645556117,-0.04911245591284234,0.1980926132583306,,asinh_cana_direto,T3_alto,FULL2,744,96
3,0.08009622318727998,0.10465146037646621,-0.1250168700801143,0.2852093164546743,,asinh_cana_direto,T3_alto,FULL2,744,96
4,0.13517909253633886,0.12895432821170535,-0.1175667464091611,0.3879249314818388,,asinh_cana_direto,T3_alto,FULL2,744,96
