relative_period,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation,outcome
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band,
,ATT,std_error,lower,upper,zero_not_in_cband,
-7,-0.08184936353546393,0.15409697395398958,-0.38387388261189026,0.22017515554096243,,asinh_cana_direto
-6,-0.06328384642651305,0.09068044870679368,-0.2410142599937604,0.11444656714073428,,asinh_cana_direto
-5,-0.008296084918796666,0.06720105213001228,-0.14000772681681942,0.1234155569792261,,asinh_cana_direto
-4,-0.023774935181382816,0.04725110390824189,-0.11638539707129669,0.06883552670853108,,asinh_cana_direto
-3,-0.07095448127843657,0.059939195660613565,-0.18843314603553865,0.04652418347866552,,asinh_cana_direto
-2,0.06748101200929597,0.06577345560595696,-0.06143259211712378,0.19639461613571574,,asinh_cana_direto
-1,0.02359232608179376,0.048322559246225756,-0.0711181496816117,0.11830280184519923,,asinh_cana_direto
0,0.09536167427228497,0.05318569066902509,-0.008880363931892232,0.19960371247646216,,asinh_cana_direto
1,0.11907283309655138,0.057649252085258965,0.0060823752737731995,0.23206329091932956,*,asinh_cana_direto
2,0.3447821352172849,0.20982502648117715,-0.06646735974098544,0.7560316301755552,,asinh_cana_direto
3,0.8091380056720716,0.6082631060725037,-0.3830357753545022,2.001311786698645,,asinh_cana_direto
4,1.049522660812628,0.7796384550520624,-0.47854063205186415,2.5775859536771204,,asinh_cana_direto
5,0.05142898338191415,0.29475384425520285,-0.5262779356630117,0.62913590242684,,asinh_cana_direto
-7,-0.037361911465017494,0.07919812963052174,-0.1925873931837746,0.11786357025373961,,log1p_fert_n
-6,-0.0024328730404275523,0.0706741462661076,-0.1409516543601144,0.1360859082792593,,log1p_fert_n
-5,-0.015310056037305984,0.043561554117363635,-0.1006891332179312,0.07006902114331924,,log1p_fert_n
-4,-0.038661839097730924,0.033768146421992204,-0.10484618990951074,0.02752251171404889,,log1p_fert_n
-3,-0.04669942471426801,0.04739940758380269,-0.139600556467056,0.046201707038519974,,log1p_fert_n
-2,0.06963071583433848,0.04640127553435958,-0.021314113049725858,0.16057554471840282,,log1p_fert_n
-1,0.005857034721923003,0.026715058457014357,-0.04650351769870732,0.05821758714255333,,log1p_fert_n
0,0.08785502418553266,0.052854707371947945,-0.015738298676889,0.19144834704795433,,log1p_fert_n
1,0.11106897065964391,0.05188985830521253,0.009366717218540738,0.2127712241007471,*,log1p_fert_n
2,0.2691115769787687,0.1582663790914973,-0.04108482600412905,0.5793079799616665,,log1p_fert_n
3,0.29925064098099713,0.17937547529238643,-0.052318830301834596,0.6508201122638289,,log1p_fert_n
4,0.4668002781258124,0.30615792440905987,-0.13325822729748127,1.066858783549106,,log1p_fert_n
5,0.06067887034418604,0.10519142218493796,-0.14549252862084,0.2668502693092121,,log1p_fert_n
-7,0.0706389641208279,0.08057531862071217,-0.08728575841860753,0.22856368666026333,,log1p_calagem
-6,0.014361379182535591,0.0530230612241189,-0.08956191116679972,0.1182846695318709,,log1p_calagem
-5,-0.0364450105450991,0.033146980870854686,-0.1014118992482124,0.028521878158014206,,log1p_calagem
-4,0.013162218466457121,0.020606253063115764,-0.027225295393567946,0.053549732326482184,,log1p_calagem
-3,-0.014601693680769745,0.034199963226274076,-0.08163238987686121,0.05242900251532172,,log1p_calagem
-2,0.02523553844790249,0.02460121212024787,-0.0229819512838136,0.07345302817961859,,log1p_calagem
-1,-0.010552249847566397,0.014325130390127639,-0.03862898948605678,0.01752448979092399,,log1p_calagem
0,0.03157536128461105,0.023182014805486865,-0.013860552823217513,0.07701127539243963,,log1p_calagem
1,-0.00934487759911977,0.02334733488213481,-0.055104813103099705,0.03641505790486017,,log1p_calagem
2,0.0505822027860467,0.029471911454042873,-0.007181682219430829,0.10834608779152423,,log1p_calagem
3,0.058487756820088804,0.03327332739311709,-0.006726766516230706,0.12370228015640831,,log1p_calagem
4,0.10063671366573017,0.03811505892001849,0.0259325709138718,0.17534085641758854,*,log1p_calagem
5,-0.09832186983509653,0.28615499719167214,-0.6591753583269342,0.4625316186567412,,log1p_calagem
-7,-0.025294702061375168,0.06026211933126652,-0.1434062855827125,0.09281688145996217,,log1p_res_outros
-6,-0.042118566259752674,0.039214944241472795,-0.11897844462878573,0.03474131210928039,,log1p_res_outros
-5,-0.03489904831872954,0.05188397282008484,-0.1365897664209509,0.06679166978349182,,log1p_res_outros
-4,0.04020748402503453,0.029428095153956512,-0.017470522610337928,0.097885490660407,,log1p_res_outros
-3,0.038096019645250674,0.03844478771020907,-0.03725437966004721,0.11344641895054855,,log1p_res_outros
-2,-0.01394448625139833,0.02020325628917848,-0.05354214094862049,0.025653168445823826,,log1p_res_outros
-1,0.01947261212455648,0.03141231712687765,-0.04209439811507441,0.08103962236418738,,log1p_res_outros
0,-0.0343749489446418,0.021197610226025666,-0.07592150154597005,0.007171603656686461,,log1p_res_outros
1,-0.10915360539270683,0.047577368433310514,-0.2024035340011883,-0.015903676784225357,*,log1p_res_outros
2,-0.11319519920018463,0.056173634432567,-0.223293499568735,-0.0030968988316342344,*,log1p_res_outros
3,-0.08215333244523078,0.04583847788102394,-0.1719950981981736,0.007688433307712031,,log1p_res_outros
4,-0.05767315656729726,0.05062394158121031,-0.15689425882192914,0.041547945687334616,,log1p_res_outros
5,-0.20373928496637062,0.20177248921232857,-0.5992060968935312,0.19172752696078998,,log1p_res_outros
