outcome,spec,estimator,ATT,SE,CI_lo,CI_hi,n_munis,grupo,z,sig_5pct,sinal
log1p_pam_area_cana_t,LEAN,CS-DR,0.26823742300343467,0.1546527561091751,-0.034876409080405346,0.5713512550872747,842,PAM,1.7344496777934948,False,+
log1p_pam_area_cana_t,FULL,CS-DR,0.4231935915366031,0.30382125251819436,-0.17228512113690708,1.0186723042101131,842,PAM,1.3929031890593635,False,+
log1p_pam_area_cana_t,FULL2,CS-DR,0.18972022546163533,0.08711307430637161,0.018981737238585428,0.36045871368468524,842,PAM,2.1778616697006967,True,+
log1p_pam_area_cana_t,RICH,CS-DR,0.48378395936937313,0.48677645853113555,-0.4702803678736077,1.437848286612354,842,PAM,0.9938524160129018,False,+
asinh_pam_area_soja_t,LEAN,CS-DR,0.17347559792396666,0.129026208863069,-0.0794111245093913,0.42636232035732463,842,PAM,1.3444989157828409,False,+
asinh_pam_area_soja_t,FULL,CS-DR,0.1360115964815527,0.13362452444432182,-0.12588765888061015,0.39791085184371555,842,PAM,1.0178640264364458,False,+
asinh_pam_area_soja_t,FULL2,CS-DR,0.1373615336826581,0.12224329130820011,-0.10223091463305234,0.37695398199836855,842,PAM,1.123673391093028,False,+
asinh_pam_area_soja_t,RICH,CS-DR,0.15314095145133388,0.13358321019680114,-0.10867732947364006,0.41495923237630783,842,PAM,1.1464086783490182,False,+
asinh_pam_area_milho_t,LEAN,CS-DR,0.1498193633074818,0.08528016650865687,-0.01732669164506459,0.3169654182600282,842,PAM,1.7567902296751905,False,+
asinh_pam_area_milho_t,FULL,CS-DR,0.09970690434606269,0.08759760855875401,-0.07198125356093277,0.27139506225305815,842,PAM,1.138237744004012,False,+
asinh_pam_area_milho_t,FULL2,CS-DR,0.10801088022490882,0.08449770778885485,-0.0576015838174363,0.27362334426725393,842,PAM,1.278269944254693,False,+
asinh_pam_area_milho_t,RICH,CS-DR,0.02862443239083957,0.0945544698740508,-0.15669892313957756,0.21394778792125668,842,PAM,0.3027295529123913,False,+
asinh_pam_area_algodao_t,LEAN,CS-DR,0.24725013337016183,0.17444300575995883,-0.09465187527427066,0.5891521420145943,842,PAM,1.417369141818095,False,+
asinh_pam_area_algodao_t,FULL,CS-DR,0.4814464440211025,0.25464710672211177,-0.01765271392156409,0.980545601963769,842,PAM,1.8906417206871686,False,+
asinh_pam_area_algodao_t,FULL2,CS-DR,0.26638969534668855,0.14208299726022428,-0.012087862098854207,0.5448672527922314,842,PAM,1.874887921028279,False,+
asinh_pam_area_algodao_t,RICH,CS-DR,0.34730871485540515,0.2855323504250285,-0.2123244083987207,0.906941838109531,842,PAM,1.2163550446680371,False,+
log1p_share_cana_mapb,LEAN,CS-DR,0.0036783735216399335,0.0011445069897948316,0.0014351810415877122,0.005921566001692155,842,MapBiomas,3.213937140129945,True,+
log1p_share_cana_mapb,FULL,CS-DR,0.0027725407904641525,0.0013514020554989037,0.0001238414330529021,0.005421240147875403,842,MapBiomas,2.05160320659761,True,+
log1p_share_cana_mapb,FULL2,CS-DR,0.0026162362306422163,0.0012266384249888412,0.000212069095611151,0.005020403365673281,842,MapBiomas,2.132850379822413,True,+
log1p_share_cana_mapb,RICH,CS-DR,0.0034033152703924836,0.0013297875562260895,0.0007969795530998161,0.006009650987685151,842,MapBiomas,2.5592924632646015,True,+
log1p_share_pastagem_mapb,LEAN,CS-DR,-0.0025060731329624047,0.0018895034204965244,-0.006209431785800834,0.0011972855198760244,842,MapBiomas,-1.3263130967520862,False,-
log1p_share_pastagem_mapb,FULL,CS-DR,-0.0026634854801984627,0.0022978455629319608,-0.007167180025580272,0.0018402090651833463,842,MapBiomas,-1.1591229293930267,False,-
log1p_share_pastagem_mapb,FULL2,CS-DR,-0.0024083228722021526,0.0016480131674672868,-0.005638369326485811,0.0008217235820815062,842,MapBiomas,-1.4613492900079987,False,-
log1p_share_pastagem_mapb,RICH,CS-DR,-0.0029787433124324725,0.001990419817062451,-0.006879894467989679,0.0009224078431247342,842,MapBiomas,-1.4965402207603786,False,-
log1p_share_vegetacao_nativa_mapb,LEAN,CS-DR,-0.0007967905237998657,0.0003830140877924157,-0.0015474843414444628,-4.609670615526862e-05,842,MapBiomas,-2.0803164927753435,True,-
log1p_share_vegetacao_nativa_mapb,FULL,CS-DR,-0.0008452157411716058,0.00039980486627972246,-0.0016288188799237142,-6.161260241949748e-05,842,MapBiomas,-2.1140706691155,True,-
log1p_share_vegetacao_nativa_mapb,FULL2,CS-DR,-0.00032435315042957455,0.0004154272585398153,-0.0011385756153638221,0.0004898693145046732,842,MapBiomas,-0.7807700235406867,False,-
log1p_share_vegetacao_nativa_mapb,RICH,CS-DR,-0.0007918035747350417,0.000512951895812962,-0.0017971708163299893,0.000213563666859906,842,MapBiomas,-1.5436214997902211,False,-
asinh_share_soja_mapb,LEAN,CS-DR,0.0009613315627668666,0.001458912845883799,-0.0018980850717482136,0.003820748197281947,842,MapBiomas,0.6589369375142481,False,+
asinh_share_soja_mapb,FULL,CS-DR,0.0005041495100653322,0.0018047129382786345,-0.0030330228513942487,0.0040413218715249135,842,MapBiomas,0.2793516350285594,False,+
asinh_share_soja_mapb,FULL2,CS-DR,-0.00045500111836840537,0.0015427889760725483,-0.0034788119472160275,0.0025688097104792167,842,MapBiomas,-0.2949211625342916,False,-
asinh_share_soja_mapb,RICH,CS-DR,-0.0005015720118603735,0.0014545318864003277,-0.003352402123570121,0.0023492580998493743,842,MapBiomas,-0.34483397479972944,False,-
asinh_share_silvicultura_mapb,LEAN,CS-DR,-0.00038703461604157617,0.0002136463265457445,-0.0008057737215005191,3.1704489417366734e-05,842,MapBiomas,-1.8115669120044848,False,-
asinh_share_silvicultura_mapb,FULL,CS-DR,-0.0004271817835305568,0.0002389107272162749,-0.0008954382043947289,4.107463733361535e-05,842,MapBiomas,-1.7880393589185668,False,-
asinh_share_silvicultura_mapb,FULL2,CS-DR,-0.00030589483804107216,0.0001851758138427931,-0.0006688327639808402,5.704308789869592e-05,842,MapBiomas,-1.6519157210280426,False,-
asinh_share_silvicultura_mapb,RICH,CS-DR,-0.0003320090639692485,0.00022757575121443597,-0.0007780493401041905,0.0001140312121656935,842,MapBiomas,-1.4588947293264518,False,-
asinh_share_urbano_infra_mapb,LEAN,CS-DR,-0.00021642256324089278,0.00013551596746710736,-0.0004820289788065249,4.9183852324739303e-05,842,MapBiomas,-1.5970262935504127,False,-
asinh_share_urbano_infra_mapb,FULL,CS-DR,-0.00033082535217860093,0.00018369483976854372,-0.0006908606222708027,2.92099179136008e-05,842,MapBiomas,-1.8009507104034184,False,-
asinh_share_urbano_infra_mapb,FULL2,CS-DR,-0.0003294576605701051,0.00018264172777368465,-0.0006874288690806959,2.8513547940485712e-05,842,MapBiomas,-1.8038466049682977,False,-
asinh_share_urbano_infra_mapb,RICH,CS-DR,-0.00029301830787732436,0.00018719888751225975,-0.0006599213853473183,7.388476959266962e-05,842,MapBiomas,-1.5652780407583056,False,-
