outcome,spec,estimator,ATT,SE,CI_lo,CI_hi,n_munis
log1p_share_cana_mapb,LEAN,CS-DR,0.0036783735216399335,0.0011445069897948316,0.0014351810415877122,0.005921566001692155,842
log1p_share_cana_mapb,FULL,CS-DR,0.0027725407904641525,0.0013514020554989037,0.0001238414330529021,0.005421240147875403,842
log1p_share_cana_mapb,FULL2,CS-DR,0.0026162362306422163,0.0012266384249888412,0.000212069095611151,0.005020403365673281,842
log1p_share_cana_mapb,RICH,CS-DR,0.0034033152703924836,0.0013297875562260895,0.0007969795530998161,0.006009650987685151,842
log1p_share_pastagem_mapb,LEAN,CS-DR,-0.0025060731329624047,0.0018895034204965244,-0.006209431785800834,0.0011972855198760244,842
log1p_share_pastagem_mapb,FULL,CS-DR,-0.0026634854801984627,0.0022978455629319608,-0.007167180025580272,0.0018402090651833463,842
log1p_share_pastagem_mapb,FULL2,CS-DR,-0.0024083228722021526,0.0016480131674672868,-0.005638369326485811,0.0008217235820815062,842
log1p_share_pastagem_mapb,RICH,CS-DR,-0.0029787433124324725,0.001990419817062451,-0.006879894467989679,0.0009224078431247342,842
log1p_share_vegetacao_nativa_mapb,LEAN,CS-DR,-0.0007967905237998657,0.0003830140877924157,-0.0015474843414444628,-4.609670615526862e-05,842
log1p_share_vegetacao_nativa_mapb,FULL,CS-DR,-0.0008452157411716058,0.00039980486627972246,-0.0016288188799237142,-6.161260241949748e-05,842
log1p_share_vegetacao_nativa_mapb,FULL2,CS-DR,-0.00032435315042957455,0.0004154272585398153,-0.0011385756153638221,0.0004898693145046732,842
log1p_share_vegetacao_nativa_mapb,RICH,CS-DR,-0.0007918035747350417,0.000512951895812962,-0.0017971708163299893,0.000213563666859906,842
asinh_share_soja_mapb,LEAN,CS-DR,0.0009613315627668666,0.001458912845883799,-0.0018980850717482136,0.003820748197281947,842
asinh_share_soja_mapb,FULL,CS-DR,0.0005041495100653322,0.0018047129382786345,-0.0030330228513942487,0.0040413218715249135,842
asinh_share_soja_mapb,FULL2,CS-DR,-0.00045500111836840537,0.0015427889760725483,-0.0034788119472160275,0.0025688097104792167,842
asinh_share_soja_mapb,RICH,CS-DR,-0.0005015720118603735,0.0014545318864003277,-0.003352402123570121,0.0023492580998493743,842
asinh_share_silvicultura_mapb,LEAN,CS-DR,-0.00038703461604157617,0.0002136463265457445,-0.0008057737215005191,3.1704489417366734e-05,842
asinh_share_silvicultura_mapb,FULL,CS-DR,-0.0004271817835305568,0.0002389107272162749,-0.0008954382043947289,4.107463733361535e-05,842
asinh_share_silvicultura_mapb,FULL2,CS-DR,-0.00030589483804107216,0.0001851758138427931,-0.0006688327639808402,5.704308789869592e-05,842
asinh_share_silvicultura_mapb,RICH,CS-DR,-0.0003320090639692485,0.00022757575121443597,-0.0007780493401041905,0.0001140312121656935,842
asinh_share_urbano_infra_mapb,LEAN,CS-DR,-0.00021642256324089278,0.00013551596746710736,-0.0004820289788065249,4.9183852324739303e-05,842
asinh_share_urbano_infra_mapb,FULL,CS-DR,-0.00033082535217860093,0.00018369483976854372,-0.0006908606222708027,2.92099179136008e-05,842
asinh_share_urbano_infra_mapb,FULL2,CS-DR,-0.0003294576605701051,0.00018264172777368465,-0.0006874288690806959,2.8513547940485712e-05,842
asinh_share_urbano_infra_mapb,RICH,CS-DR,-0.00029301830787732436,0.00018719888751225975,-0.0006599213853473183,7.388476959266962e-05,842
