outcome,spec,estimator,ATT,SE,CI_lo,CI_hi,n_munis
log1p_pam_area_cana_t,LEAN,CS-DR,0.26823742300343467,0.1546527561091751,-0.034876409080405346,0.5713512550872747,842
log1p_pam_area_cana_t,FULL,CS-DR,0.4231935915366031,0.30382125251819436,-0.17228512113690708,1.0186723042101131,842
log1p_pam_area_cana_t,FULL2,CS-DR,0.18972022546163533,0.08711307430637161,0.018981737238585428,0.36045871368468524,842
log1p_pam_area_cana_t,RICH,CS-DR,0.48378395936937313,0.48677645853113555,-0.4702803678736077,1.437848286612354,842
asinh_pam_area_soja_t,LEAN,CS-DR,0.17347559792396666,0.129026208863069,-0.0794111245093913,0.42636232035732463,842
asinh_pam_area_soja_t,FULL,CS-DR,0.1360115964815527,0.13362452444432182,-0.12588765888061015,0.39791085184371555,842
asinh_pam_area_soja_t,FULL2,CS-DR,0.1373615336826581,0.12224329130820011,-0.10223091463305234,0.37695398199836855,842
asinh_pam_area_soja_t,RICH,CS-DR,0.15314095145133388,0.13358321019680114,-0.10867732947364006,0.41495923237630783,842
asinh_pam_area_milho_t,LEAN,CS-DR,0.1498193633074818,0.08528016650865687,-0.01732669164506459,0.3169654182600282,842
asinh_pam_area_milho_t,FULL,CS-DR,0.09970690434606269,0.08759760855875401,-0.07198125356093277,0.27139506225305815,842
asinh_pam_area_milho_t,FULL2,CS-DR,0.10801088022490882,0.08449770778885485,-0.0576015838174363,0.27362334426725393,842
asinh_pam_area_milho_t,RICH,CS-DR,0.02862443239083957,0.0945544698740508,-0.15669892313957756,0.21394778792125668,842
asinh_pam_area_algodao_t,LEAN,CS-DR,0.24725013337016183,0.17444300575995883,-0.09465187527427066,0.5891521420145943,842
asinh_pam_area_algodao_t,FULL,CS-DR,0.4814464440211025,0.25464710672211177,-0.01765271392156409,0.980545601963769,842
asinh_pam_area_algodao_t,FULL2,CS-DR,0.26638969534668855,0.14208299726022428,-0.012087862098854207,0.5448672527922314,842
asinh_pam_area_algodao_t,RICH,CS-DR,0.34730871485540515,0.2855323504250285,-0.2123244083987207,0.906941838109531,842
