,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-7,0.09950518467252627,0.17585922346479718,-0.24517255966765739,0.44418292901270995,
-6,-0.22246699168976194,0.11797482497262342,-0.4536933997185204,0.008759416338996517,
-5,-0.013176950421709181,0.03473359655233931,-0.08125354871783882,0.054899647874420456,
-4,0.024222456682301913,0.03533991076936681,-0.04504249564251622,0.09348740900712005,
-3,0.016025287011257997,0.041886765656967806,-0.06607126510526812,0.0981218391277841,
-2,0.012747485563234314,0.033807586200339516,-0.05351416579366446,0.07900913692013309,
-1,0.0163959781939602,0.03735071139742941,-0.05681007094195116,0.08960202732987156,
0,-0.0309818543830671,0.056732944852933204,-0.1421763830317132,0.08021267426557901,
1,0.06374879737012934,0.0480735210744624,-0.03047357254584425,0.15797116728610294,
2,0.025532692454609814,0.05723103679666533,-0.08663807846474081,0.13770346337396044,
3,0.011650621609746791,0.053036580272517626,-0.09229916558755528,0.11560040880704887,
4,0.01547802402251165,0.09478004227932478,-0.17028744529814854,0.20124349334317182,
5,-0.23321286556248993,0.1312786036186734,-0.4905142005957994,0.02408846947081955,
