outcome,spec,estimator,ATT,SE,CI_lo,CI_hi,n_munis
asinh_luc,LEAN,CS-DR,0.0039017809567081906,0.042677342893828706,-0.07974427407106248,0.08754783598447886,842
asinh_luc,FULL,CS-DR,0.016590057462248183,0.05284403174692359,-0.08698234155961329,0.12016245648410967,842
asinh_luc,FULL2,CS-DR,-0.01228784969668238,0.03496975314270311,-0.08082730640463685,0.05625160701127209,842
asinh_luc,RICH,CS-DR,0.03289179324999745,0.06597113233081969,-0.0964092501377351,0.16219283663773,842
asinh_carbono_solo,LEAN,CS-DR,0.04987344965989611,0.044814634631899344,-0.037961620198948026,0.13770851951874025,842
asinh_carbono_solo,FULL,CS-DR,0.05411035717533963,0.06290240589165104,-0.06917609291321651,0.17739680726389578,842
asinh_carbono_solo,FULL2,CS-DR,0.00438258781756381,0.03513691873702309,-0.06448450743471204,0.07324968306983967,842
asinh_carbono_solo,RICH,CS-DR,0.058726400090858194,0.06874451998553906,-0.07601038321529233,0.19346318339700871,842
log1p_queima,LEAN,CS-DR,0.11198979837644082,0.12871690972137867,-0.14029070887875492,0.36427030563163654,842
log1p_queima,FULL,CS-DR,0.19500475625189267,0.19995087169364975,-0.19689175094505018,0.5869012634488355,842
log1p_queima,FULL2,CS-DR,0.20524606904447648,0.1435214314241401,-0.07605076755647325,0.48654290564542624,842
log1p_queima,RICH,CS-DR,0.18102603498424016,0.22361134034444147,-0.2572441386255935,0.6192962085940737,842
log_solos_manejados,LEAN,CS-DR,0.06468685215178803,0.02103887028296437,0.02345142412176785,0.10592228018180821,841
log_solos_manejados,FULL,CS-DR,0.07431655283032956,0.02536787968069025,0.024596422292031225,0.1240366833686279,841
log_solos_manejados,FULL2,CS-DR,0.055441664375202294,0.018545779661739478,0.019092604172977493,0.0917907245774271,841
log_solos_manejados,RICH,CS-DR,0.05290711251007581,0.024212675818785927,0.005451139935911523,0.10036308508424009,841
log1p_residuos_florestais,LEAN,CS-DR,0.24178816149606033,0.11244914082905129,0.021391895378647302,0.46218442761347334,842
log1p_residuos_florestais,FULL,CS-DR,0.18845151583101033,0.12949286276307215,-0.06534983143959894,0.4422528631016196,842
log1p_residuos_florestais,FULL2,CS-DR,0.06706683233172687,0.0816752077678264,-0.09301363332303893,0.2271472979864927,842
log1p_residuos_florestais,RICH,CS-DR,0.1644551562018114,0.15200103574142215,-0.13346139946416152,0.4623717118677843,842
asinh_luc,sa_canonical,Sun-Abraham,0.008423813081537487,0.03127311130199838,-0.05287148507037933,0.06971911123345431,842
asinh_carbono_solo,sa_canonical,Sun-Abraham,0.01797262947219939,0.0328917865285842,-0.04649527212382565,0.08244053106822444,842
log1p_queima,sa_canonical,Sun-Abraham,-0.05370319964019759,0.0821903599462337,-0.21479630513481562,0.10738990585442043,842
log_solos_manejados,sa_canonical,Sun-Abraham,0.025073970859323294,0.01466785024830515,-0.0036750156273548003,0.053822957346001385,841
log1p_residuos_florestais,sa_canonical,Sun-Abraham,-0.0030053703974052344,0.09864607995604438,-0.1963516871112522,0.19034094631644174,842
asinh_luc,twfe_classic,TWFE,0.015949598630681825,0.023421803596302693,-0.02995713641807145,0.061856333679435105,842
asinh_carbono_solo,twfe_classic,TWFE,0.019867280211665148,0.025594411822111987,-0.030297766959674347,0.07003232738300465,842
log1p_queima,twfe_classic,TWFE,-0.07926258283906443,0.0917118974276907,-0.2590179017973382,0.10049273611920934,842
log_solos_manejados,twfe_classic,TWFE,0.07016320718855532,0.016083308091290494,0.03863992332962595,0.10168649104748467,841
log1p_residuos_florestais,twfe_classic,TWFE,-0.008387600042058695,0.06409412449561758,-0.13401208405346912,0.11723688396935174,842
