treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T2,2022,asinh_luc,LEAN,-0.01517511591472557,0.07691582550882849,-0.1659301339120294,0.13557990208257828,-0.011369684960159374,5,842,21.962591409683228
T2,2022,asinh_luc,FULL,-0.012415491245040803,0.06602901406532628,-0.14183235881308032,0.11700137632299872,-0.005797323045767668,5,842,20.22046685218811
T2,2022,asinh_luc,FULL2,-0.009635075741065428,0.06472265564860274,-0.13649148081232682,0.11722132933019597,-0.0003278130537921449,5,842,17.698853492736816
T2,2022,asinh_luc,RICH,-0.023595832152195455,0.08649395549733759,-0.19312398492697713,0.1459323206225862,-0.01709002321264367,5,842,32.3166720867157
T2,2022,asinh_carbono_solo,LEAN,0.03547402438717832,0.07708142965927552,-0.11560557774500169,0.1865536265193583,0.008466119321868025,5,842,14.405935049057007
T2,2022,asinh_carbono_solo,FULL,0.02065799351386959,0.06777887492264133,-0.1121886013345074,0.1535045883622466,0.025045214512128187,5,842,18.8809654712677
T2,2022,asinh_carbono_solo,FULL2,0.0002093029453747425,0.062291160424408056,-0.12188137148646504,0.12229997737721453,0.02707876745061535,5,842,17.828030109405518
T2,2022,asinh_carbono_solo,RICH,-0.0009836617353396553,0.07323717813562533,-0.1445285308811653,0.142561207410486,0.0022438810084535704,5,842,31.85245633125305
T2,2022,log1p_queima,LEAN,0.06753635685026568,0.22034578717544115,-0.364341386013599,0.4994140997141303,-0.039651103787341754,5,842,14.19088625907898
T2,2022,log1p_queima,FULL,0.028867412786708364,0.21722552267733622,-0.39689461166087064,0.45462943723428734,-0.05815077129611957,5,842,20.87367343902588
T2,2022,log1p_queima,FULL2,0.1263482643115877,0.24404393054569395,-0.35197783955797246,0.6046743681811478,-0.027924855502244335,5,842,20.446465730667114
T2,2022,log1p_queima,RICH,-0.44790012114641825,0.7088822412300054,-1.8373093139572287,0.9415090716643923,-0.30567456368351775,5,842,32.03077673912048
T2,2022,log_solos_manejados,LEAN,0.06048412152570495,0.03373984763795098,-0.005645979844678968,0.12661422289608887,-0.007245098180440456,5,841,10.674139738082886
T2,2022,log_solos_manejados,FULL,0.05297396044086107,0.03501549566290981,-0.015656411058442163,0.1216043319401643,-0.0095511539833352,5,841,22.16132402420044
T2,2022,log_solos_manejados,FULL2,0.04901161049252037,0.033176848320302085,-0.016015012215271712,0.11403823320031245,-0.004628491108296196,5,841,17.89369773864746
T2,2022,log_solos_manejados,RICH,0.04630423033416271,0.03578408238120041,-0.023832571132990102,0.11644103180131553,-0.012776518114306884,5,841,32.02248549461365
