geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
3103751,18.71663108428679,1521.254324236923,4776.116461739051,138.25015211423514,-40.589887844184034,6413.747681330312,6395.031050246025
3105103,21.481617113121473,1668.7182634965511,5589.328880293946,451.5322020727396,-655.9008697537118,7075.1600932226465,7053.678476109525
3111408,68.17974638848865,5614.87038042166,17656.303395358893,814.0085049143729,-578.0277545710366,23575.334272512377,23507.15452612389
3111804,19.02484648184479,1442.499922873657,4514.524748971343,494.50560273686284,-492.9760489530132,5977.579072110694,5958.554225628849
3112604,3.667763915432035,299.4362299933354,1309.8589561159888,1040.0318192554341,-950.330828201778,1702.6639410784128,1698.9961771629805
3117306,93.9895865386242,7444.354505621345,23777.889638259152,1508.2423035006052,-883.0197390161101,31941.456294903615,31847.466708364995
3121258,10.788928030304879,863.7200631248592,2714.6311523567774,74.2273836130437,-17.214358742141933,3646.1531683828434,3635.3642403525387
3127107,138.4792202345872,11063.444071854236,34503.8900614263,1244.812109973771,-767.0126530083102,46183.61281048058,46045.13359024599
3133402,35.43251831539347,2851.4453873408193,8882.284655504074,236.60459078411745,-493.5106331391877,11512.256518805218,11476.824000489825
3134202,42.70901879188212,3471.165683292249,11022.157482707325,875.2410676036059,-944.3940970616545,14466.879155333407,14424.170136541525
3134400,59.85956558329332,4783.937462210074,14845.953666344914,360.52513516654165,-271.6644307530797,19778.611398551744,19718.75183296845
3135050,30.48123658912716,2221.763983301106,6919.263982310935,265.96772803613453,-614.5122600928096,8822.96467014449,8792.483433555364
3136306,58.89288696180431,4512.986851686125,14070.710987686645,566.9891866938269,-1620.5065834990098,17589.07332952939,17530.180442567587
3137205,17.955424931884792,1452.20804962224,4555.5788388410265,122.7718822482208,-77.75598709400927,6070.758208549363,6052.802783617478
3138625,53.70394061233186,4305.533036978141,13394.621953013297,316.9393297386523,-331.0905006529931,17739.707759689427,17686.003819077097
3143005,10.92081551367759,898.5305168770653,2862.565272108838,139.36078909398583,-140.6609273113218,3770.716466282245,3759.7956507685676
3147006,45.17771910916914,3864.067129150125,13289.972674921219,3066.454382252122,-4024.664673411859,16241.007232020776,16195.829512911609
3150703,28.57765977382983,2249.938666174346,7102.677008471321,446.98458003452185,-274.4961871916855,9553.681727262332,9525.104067488503
3152006,30.620440082247494,2414.296678814345,7533.384726907959,239.18974851333812,-466.2820498720982,9751.209544445792,9720.589104363544
3157708,24.208462854485422,2111.8185985009723,6897.3696230606565,556.0065830742644,-509.5905912097739,9079.812676280606,9055.604213426119
3159803,99.27592701621046,7841.777086754275,24408.158588680406,696.8461111219833,-818.9817346634537,32227.07597890942,32127.800051893206
3166709,5.587231409909307,405.26042401558647,1201.3066169355336,35.55320468448044,-74.08307893136846,1573.6243981141415,1568.0371667042323
3169604,32.07844069914001,3102.8424319524797,10040.31388240528,1020.9571555527477,-1075.8156558224237,13120.376254787223,13088.297814088084
3170107,174.73613427039396,14221.208504749586,46214.202947342754,4053.128095545135,-3575.457918859749,61087.81776304812,60913.08162877773
3170503,4.674173261293454,364.8296954573305,1131.5060788520652,36.13175156799489,-42.735328158649416,1494.4063709800346,1489.732197718741
3500105,78.37632787139678,2084.648196419936,1177.5208217660957,115.44470975316823,-87.89542609246259,3368.0946297181345,3289.7183018467376
3501707,51.064097205158966,1367.9060250312334,778.0633610011989,71.05743070105909,-11.086199530884251,2257.004714407766,2205.9406172026074
3502101,179.41487168295293,4787.5212549551725,2726.6127835771345,288.6149868865815,-149.54404800043585,7832.619849101406,7653.2049774184525
3502804,148.50027878583555,3943.219742153719,2232.3000595798617,347.5125733282799,-260.61515341970716,6410.91750042799,6262.417221642154
3503208,255.49160898356803,6982.9242346570645,4034.2814234885054,395.37454489242276,-120.13813293489125,11547.933679086667,11292.4420701031
3503307,169.84255540680996,4573.075783644641,2620.6157646544484,288.4691814033968,-84.99823220923462,7567.005052900061,7397.162497493252
3503703,55.48738659475831,1475.1979227616905,844.1409908861698,74.71006118843965,-15.357808869629016,2434.1785525614296,2378.691165966671
3504404,74.73610317620141,2026.686780252706,1224.1511254982136,131.26372664089357,-28.866958453505056,3427.97077711451,3353.2346739383083
3504503,53.199107754788216,1415.78255928073,839.9267826222556,234.5529788170504,-287.2193963724058,2256.2420321024183,2203.04292434763
3505203,131.20611201908508,3487.1207838437495,1966.4379687535734,229.04369097460227,-144.7147436137186,5669.093811977292,5537.887699958206
3505302,64.74776333447936,1722.480551729564,970.5665973080498,78.73454030511593,-2.126739516916878,2834.402713160292,2769.6549498258128
3505609,63.46900173526554,1698.16178932989,965.1460629426412,88.19811480823638,-29.203748206491372,2785.7712206095416,2722.302218874276
3505906,290.81063251373246,7742.224023341249,4381.26455565802,431.97739086769667,-113.64317369501256,12732.633428685685,12441.822796171953
3506201,84.48565653273833,2238.1033581438137,1237.5817175172897,129.85641915292308,-54.71176621735748,3635.3153851294073,3550.829728596669
3506805,105.95933545316986,2816.1320978187155,1584.5553838795424,146.42311529385796,-36.15707702891532,4616.912855416371,4510.953519963201
3507902,171.57794351975707,4549.008365125162,2554.4866651054867,285.81322007088824,-117.76224498935521,7443.123948831939,7271.546005312181
3508207,67.66757396662557,1802.0013930366424,1020.753174352307,115.5641078307088,-53.64556000100399,2952.34068918528,2884.6731152186544
3508801,162.1173871440329,4296.652098071638,2445.4857309312615,266.88348547405667,-200.89942259300247,6970.2392790279855,6808.121891883952
3510401,130.53351071704336,3473.8753275094286,1959.822150044434,180.25322317731158,-7.762036663216414,5736.722174785001,5606.188664067958
3511003,146.88263585040687,3910.1014259528206,2223.941402242658,238.88662371624864,-185.77477322177188,6334.037314540362,6187.154678689955
3511102,94.50769904099386,2524.771458113046,1439.782926825179,127.59033412379651,-22.681493517973415,4163.970924585042,4069.463225544048
3511409,91.1702854790289,2389.304816899081,1367.3652038320724,216.43242065482227,-194.25522984643516,3870.017497018569,3778.8472115395402
3511508,28.900644290570423,782.9978571133367,466.4985899821384,48.46324462528241,-34.116372726906405,1292.7439632844216,1263.8433189938512
3511904,29.673627326247487,789.0257840007156,451.02542518440697,50.981558134980894,-30.51878512465777,1290.187609521693,1260.5139821954456
3512001,169.59040069550295,4508.82854216456,2551.581556899171,268.05482859952434,-104.45152625479754,7393.603802103961,7224.013401408458
3512100,225.77661066906757,6018.474610589772,3413.666745014877,418.9766742715373,-150.96101903739677,9925.933621507857,9700.15701083879
3513702,182.3164124228428,4951.552641057644,2886.6183481134885,293.18482795673856,-27.546414979706185,8286.125814571007,8103.809402148165
3515509,79.79866163218232,2123.673838921095,1200.371791010457,127.37246604572785,-92.11530038251975,3439.1014572269423,3359.30279559476
3516903,49.45315323022426,1357.8491776337576,787.1045910990779,109.51230138624268,-122.99861294343522,2180.920610405867,2131.467457175643
3517406,387.5934993563141,10314.987217616748,5917.906198761416,996.2361009366762,-895.002652890084,16721.720363781067,16334.126864424756
3517901,264.04222054124153,7071.967126557064,4069.093077089957,354.8404495093192,-78.24885377192466,11681.694019925657,11417.651799384415
3518206,239.99355633114735,6374.1195618394,3594.1545295995224,435.88070793590924,-226.94942883622255,10417.198926869756,10177.20537053861
3518602,136.98499721593836,3645.4808073091517,2057.3539889869853,202.20358043127004,-138.2837278730473,5903.739646070298,5766.754648854359
3519105,127.933727697588,3473.3301193733137,2024.9229275337361,190.69786294966357,-62.18107196504266,5754.703565589258,5626.76983789167
