geocode,delta_queima_ar6,delta_cana_dir_ar6,delta_fert_n_ar6,delta_calagem_ar6,delta_res_outros_ar6,balanco_so_robustos_ar6,balanco_liquido_total_ar6
3103751,18.418224418886364,1567.178983081811,4920.301109640608,138.25015211423514,-41.81524294891412,6583.91500188774,6602.333226306627
3105103,21.139127179902836,1719.0946639039942,5758.063337057537,451.5322020727396,-675.7016507274088,7252.988552306862,7274.1276794867645
3111408,67.09272967720048,5784.3759013400495,18189.323875218783,814.0085049143729,-595.4776490486528,24192.230632424555,24259.323362101757
3111804,18.721525816238017,1486.0470903566352,4650.812288562931,494.50560273686284,-507.8583447704627,6123.506636885966,6142.228162702205
3112604,3.609287302063354,308.475814295021,1349.4018679987357,1040.0318192554341,-979.0200607512656,1718.889440797925,1722.4987280999885
3117306,92.49107331928197,7669.089735979725,24495.712721678297,1508.2423035006052,-909.6769386845209,32763.367822474105,32855.85889579339
3121258,10.616915875859451,889.7946310682512,2796.582281484529,74.2273836130437,-17.73403749662169,3742.870258669203,3753.4871745450623
3127107,136.27139115726214,11397.434836287572,35545.5169312052,1244.812109973771,-790.1677519670516,47397.5961254995,47533.867516656755
3133402,34.86760363659144,2937.526757524693,9150.429097934386,236.60459078411745,-508.40906734716316,11816.151378896033,11851.018982532625
3134202,42.02809198284174,3575.955590712392,11354.901859543774,875.2410676036059,-972.9041075389874,14833.194410320784,14875.222502303626
3134400,58.905200811257785,4928.358215786227,15294.133399668533,360.52513516654165,-279.86562111543685,20303.151129505866,20362.056330317122
3135050,29.995262156715604,2288.836103551705,7128.147423286359,265.96772803613453,-633.0635736050453,9049.887681269152,9079.88294342587
3136306,57.953934330054786,4649.227964189858,14495.487168446996,566.9891866938269,-1669.427536963131,18042.27678236755,18100.230716697602
3137205,17.6691544777821,1496.0482926297038,4693.105747183397,122.7718822482208,-80.10333764779068,6231.822584413531,6249.491738891314
3138625,52.847717408229585,4435.511392811443,13798.98789876464,316.9393297386523,-341.0856855783665,18210.35293573637,18263.2006531446
3143005,10.746700624827447,925.6559664431654,2948.982336927218,139.36078909398583,-144.9072949282674,3869.0917975361017,3879.8384981609292
3147006,44.45743283280597,3980.7182122942795,13691.179397182992,3066.454382252122,-4146.163984307312,16592.188007422083,16636.64544025489
3150703,28.122034820831974,2317.8613428890435,7317.097446462908,446.98458003452185,-282.7828645408685,9799.160504845604,9827.282539666436
3152006,30.13224627338902,2487.1811068540233,7760.807662059897,239.18974851333812,-480.35848911352,10006.820028313738,10036.952274587127
3157708,23.822497739163907,2175.571612795341,7105.592102247393,556.0065830742644,-524.9744581142199,9312.195840002778,9336.018337741942
3159803,97.69313157604634,8078.509979939309,25145.008659282077,696.8461111219833,-843.7057115589542,33076.65903878441,33174.35217036046
3166709,5.4981519657324505,417.49470096700037,1237.5724770694364,35.55320468448044,-76.31954923873053,1614.3008334821868,1619.7989854479192
3169604,31.56700140874806,3196.513146879347,10343.417697723176,1020.9571555527477,-1108.2931095831007,13452.59489057217,13484.161891980919
3170107,171.95024684664898,14650.528006779761,47609.3486966965,4053.128095545135,-3683.3962711272134,62629.60852789418,62801.558774740835
3170503,4.599651064957738,375.8434221126461,1165.664752930618,36.13175156799489,-44.02545127287279,1533.6144753383862,1538.2141264033442
3500105,77.12674302137168,2147.5809721609153,1213.0686201590345,115.44470975316823,-90.54887291789542,3385.545429155223,3462.672172176594
3501707,50.24996207047294,1409.2013012585915,801.552066238971,71.05743070105909,-11.420877252571323,2270.3899209460506,2320.6398830165235
3502101,176.5543892948002,4932.050198500989,2808.925622326633,288.6149868865815,-154.0585852985622,7875.532222415641,8052.0866117104415
3502804,146.13268000141986,4062.260338143265,2299.6902500577444,347.5125733282799,-268.48278069275494,6440.980380836534,6587.113060837954
3503208,251.41820502901868,7193.72949457124,4156.071051367404,395.37454489242276,-123.76494449518985,11621.410146335877,11872.828351364895
3503307,167.13468824985233,4711.130901641461,2699.7286933987334,288.4691814033968,-87.56421657781529,7611.7645598657755,7778.899248115627
3503703,54.6027292047098,1519.732199675251,869.6244924978278,74.71006118843965,-15.821440835504609,2448.245312526014,2502.8480417307233
3504404,73.54455587084499,2087.8697773924105,1261.1066311736313,131.26372664089357,-29.738413803044832,3450.5017214038908,3524.046277274736
3504503,52.35093330096187,1458.523164843922,865.2830628523614,234.5529788170504,-295.89017060251615,2262.469035910817,2314.819969211779
3505203,129.1142409878374,3592.3923546767683,2025.802133848021,229.04369097460227,-149.08349059073652,5698.154688908655,5827.268929896492
3505302,63.7154640888636,1774.479964611966,999.8667210003683,78.73454030511593,-2.1909429740313495,2850.8902829434187,2914.6057470322826
3505609,62.45709029250517,1749.427050894566,994.2825478616643,88.19811480823638,-30.085370793857148,2801.8223427706093,2864.2794330631145
3505906,286.1741233727116,7975.951541027023,4513.529146017508,431.97739086769667,-117.07391101410728,12804.38416689812,13090.558290270832
3506201,83.13866823518806,2305.668742540608,1274.9426750272455,129.85641915292308,-56.36344217863619,3654.1043945421407,3737.2430627773288
3506805,104.26998378415233,2901.1474064321105,1632.3910181098681,146.42311529385796,-37.248611429788234,4642.712928406049,4746.982912190201
3507902,168.8424083825081,4686.336919544035,2631.603243674709,285.81322007088824,-121.3173316305433,7482.436051659089,7651.278460041597
3508207,66.5887230231954,1856.4014350905788,1051.5683645214333,115.5641078307088,-55.26504860480789,2968.2688588379133,3034.857581861109
3508801,159.53268540560444,4426.362350088894,2519.3117152612617,266.88348547405667,-206.96431082222517,7005.593240001987,7165.125925407591
3510401,128.45236323485653,3578.7470355097134,2018.9865923099264,180.25322317731158,-7.996362298332381,5769.990488698619,5898.442851933475
3511003,144.54082778826358,4028.142223717434,2291.0792558952667,238.88662371624864,-191.38306826242913,6366.72503506652,6511.265862854783
3511102,93.0009253487365,2600.990973829666,1483.2480717859391,127.59033412379651,-23.36621785059148,4188.463161888811,4281.464087237547
3511409,89.71672149356137,2461.4347736356567,1408.64415338172,216.43242065482227,-200.11953867198793,3886.3918090002107,3976.108530493773
3511508,28.439869867447175,806.6355282714752,480.581566283486,48.46324462528241,-35.1463009601715,1300.5340382200723,1328.9739080875195
3511904,29.200528928310142,812.8454303101712,464.64128707676645,50.981558134980894,-31.440106939741778,1297.0281685821767,1326.2286975104869
3512001,166.88655374101802,4644.944120795943,2628.61043408858,268.05482859952434,-107.60477987758388,7434.004603606463,7600.891157347482
3512100,222.17696470651356,6200.164410154746,3516.7208354304203,418.9766742715373,-155.51833281965781,9980.343587037045,10202.520551743559
3513702,179.4096696210069,5101.033475504667,2973.7615435282355,293.18482795673856,-28.378004865885995,8339.601842123755,8519.011511744762
3515509,78.5263999514428,2187.7847472658827,1236.6094299843576,127.37246604572785,-94.89613963935054,3456.8705036566175,3535.3969036080603
3516903,48.664702013629174,1398.8408509208143,810.8662391322575,109.51230138624268,-126.7117786171993,2192.507612822115,2241.1723148357446
3517406,381.4139426212936,10626.383058148574,6096.559970799496,996.2361009366762,-922.0216009018602,16797.157528982887,17178.57147160418
3517901,259.83249079865004,7285.460473773881,4191.933622813428,354.8404495093192,-80.61108331975635,11751.623462776872,12011.455953575522
3518206,236.16724397077337,6566.5458127628535,3702.6573078515835,435.88070793590924,-233.80073234825946,10471.283096202085,10707.45034017286
3518602,134.80099112825027,3755.533058095843,2119.4627886545168,202.20358043127004,-142.45833097864872,5934.741096202982,6069.542087331231
3519105,125.89402958618305,3578.1853682600554,2086.0526762894715,190.69786294966357,-64.05823640172319,5790.877671097468,5916.771700683651
3519303,100.42167014414785,2841.2387361771143,1643.9745605929043,144.01859053968366,-11.99116297388552,4617.240724335817,4717.662394479965
3520103,153.5519736309412,4311.378870309441,2462.6231909035923,245.25793472287305,-79.41466624193927,6939.845329693967,7093.3973033249085
3520905,97.03743242186333,2697.929706329254,1518.5203535626895,156.3201002133712,-47.02787976422658,4325.742280341087,4422.779712762951
3521408,53.48921990061373,1491.9614399188147,843.4172985972708,70.0025695108678,-6.464315672584703,2398.9169923543686,2452.4062122549826
3521804,121.04605580657598,3340.1831748782247,1962.161702196662,597.2384408453489,-832.2793256001763,5067.3039923200595,5188.350048126636
3522307,67.72041449486393,1845.5122450378046,1136.927951838182,652.4328385919024,-1164.493802626398,2470.379232841491,2538.099647336355
3522703,182.07426773982593,5052.093231253987,2866.507933048959,494.2235387336676,-348.5966117105781,8064.228091326035,8246.302359065861
3524303,358.0011392248597,9989.543037934955,5669.720973027219,557.2214482562473,-395.03584603474434,15821.449613183675,16179.450752408535
3526001,129.3974907395386,3603.0141062564103,2000.8379114436561,212.42234996846275,-120.36365170491318,5695.910715963616,5825.308206703155
3526704,132.6116993662486,3694.644329031301,2126.940265437956,246.75757827561264,-189.67336332291117,5878.668809421959,6011.280508788207
3526803,218.67441486552582,6104.645511896897,3446.2032360368826,306.6982573541219,-60.276492764863804,9797.270512523039,10015.944927388564
3527405,42.75602750052469,1191.2974656838023,672.2421426544857,62.33575088938779,-59.22909498731482,1866.646264240361,1909.4022917408859
3527603,190.41597292742722,5455.533408575825,3103.5837490223466,276.00283903064366,-37.90456030056221,8797.215436328253,8987.63140925568
3528007,89.76240597878069,2500.8254905318126,1414.226044732931,113.71296173630301,-19.7425014206084,4009.021995580438,4098.78440155922
3528809,101.81538373268998,2841.845085256378,1737.8239888273058,698.1342156880154,-945.1768625389292,4332.62642723277,4434.44181096546
