Sub-categoria emissora,Produto ou sistema,Detalhamento,pipeline_status,soma_2015_2024,n_linhas,share_pct
Redução do estoque de C no solo,Lavouras cultivadas sob sistema convencional,Solo,excluido_pipeline_carbono,268677232.4176146,6,17.396049961138143
Deposição de dejetos em pastagem,Gado de corte,Animal,excluido_pipeline_animal,260280677.77930483,8595,16.852398075657852
Redução do estoque de C no solo,Pastagens de baixo vigor,Solo,excluido_pipeline_carbono,214552491.69076657,6,13.891634327012502
Fertilizantes sintéticos nitrogenados,Aplicação de ureia e demais fertilizantes sintéticos nitrogenados,Insumo,entra_no_painel,182086381.81687233,8595,11.789550483405675
Corretivo agrícola,Calagem,Insumo,entra_no_painel,161484534.0,2865,10.455642244552683
Resíduos agrícolas,Soja,Vegetal,entra_no_painel,80586615.81751446,5730,5.2177431721550604
Resíduos agrícolas,Milho,Vegetal,entra_no_painel,64458831.290363505,5730,4.173517195609699
Resíduos agrícolas,Pastagem,Vegetal,entra_no_painel,58824164.840229325,5728,3.8086893380392226
Deposição de dejetos em pastagem,Gado de leite,Animal,excluido_pipeline_animal,51157871.903305724,8595,3.312319721055257
Resíduos agrícolas,Cana-de-açúcar,Vegetal,entra_no_painel,35451349.576041155,5730,2.2953692163093513
Redução do estoque de C no solo,Pastagens de médio vigor,Solo,excluido_pipeline_carbono,35149266.54494378,6,2.275810240455328
Fertilizantes sintéticos nitrogenados,Aplicação de ureia,Insumo,entra_no_painel,30511751.439820003,2865,1.9755449602961557
Aplicação de resíduos orgânicos,Torta de filtro,Subproduto,entra_no_painel,23269706.600481614,8595,1.5066441430876718
Mineralização de N associado a perda de C no solo,Manejo de solo,Solo,excluido_pipeline_carbono,15168438.61548591,5730,0.9821111882576862
Solos orgânicos,Manejo de solo,Solo,entra_no_painel,11542695.390944099,2865,0.747355121609099
Aplicação de resíduos orgânicos,Aves,Animal,excluido_pipeline_animal,9329899.390888108,8595,0.6040831762179532
Deposição de dejetos em pastagem,Equino,Animal,excluido_pipeline_animal,6348157.115695995,8595,0.411024251486082
Resíduos agrícolas,Outras culturas,Vegetal,entra_no_painel,5518228.60795646,5730,0.357288854352137
Aplicação de resíduos orgânicos,Gado de corte,Animal,excluido_pipeline_animal,5482709.8111331165,8595,0.35498911812760275
Aplicação de resíduos orgânicos,Vinhaça,Subproduto,entra_no_painel,4291198.867665556,5730,0.27784233603783154
Aplicação de resíduos orgânicos,Suínos,Animal,excluido_pipeline_animal,3993806.6159837483,8595,0.25858707416930515
Resíduos agrícolas,Feijão,Vegetal,entra_no_painel,3148679.3006265163,5730,0.2038675995447292
Ocorrência de queima de pasto,Pastagem,Vegetal,entra_no_painel,2488568.7909973585,15,0.16112741161718547
Resíduos agrícolas,Trigo,Vegetal,entra_no_painel,2332183.404778374,5730,0.15100192399258172
Deposição de dejetos em pastagem,Suínos,Animal,excluido_pipeline_animal,2061423.5785263318,8595,0.1334710322881873
Aplicação de resíduos orgânicos,Gado de leite,Animal,excluido_pipeline_animal,1984725.2788947504,8595,0.12850504599928783
Deposição de dejetos em pastagem,Bubalino,Animal,excluido_pipeline_animal,1269220.8409417681,8595,0.0821782663237424
Resíduos agrícolas,Mandioca,Vegetal,entra_no_painel,932038.7535433475,5730,0.06034673119289585
Deposição de dejetos em pastagem,Ovino,Animal,excluido_pipeline_animal,758516.8217364738,8595,0.0491117033198468
Deposição de dejetos em pastagem,Muar,Animal,excluido_pipeline_animal,547607.953785321,8595,0.03545598276953789
Resíduos agrícolas,Arroz,Vegetal,entra_no_painel,497786.25621946214,5730,0.03223017635413887
Deposição de dejetos em pastagem,Caprino,Animal,excluido_pipeline_animal,226884.6996112125,8595,0.014690108031631309
Deposição de dejetos em pastagem,Asinino,Animal,excluido_pipeline_animal,58996.06767086175,8595,0.0038198195339372307
