Cidade,uf,corr_pearson,corr_spearman
Abadia de Goiás (GO),GO,0.5366830154924424,0.36893018569362623
Abadia dos Dourados (MG),MG,0.6851386711015293,0.20668788485122194
Abaeté (MG),MG,0.5485188225421224,0.6606060606060606
Abatiá (PR),PR,0.24217637326407895,0.16363636363636364
Abre Campo (MG),MG,-0.6406027156308999,-0.40606060606060607
Acaiaca (MG),MG,0.965858118105772,0.9272727272727272
Acorizal (MT),MT,0.7349550547905188,0.7575757575757576
Acreúna (GO),GO,0.31076486467508224,0.44242424242424244
Adamantina (SP),SP,0.47164586402597886,0.40606060606060607
Adolfo (SP),SP,0.8812099503623864,0.8666666666666667
Adrianópolis (PR),PR,-0.2332333159256864,-0.12727272727272726
Aguanil (MG),MG,0.814224231365963,0.41818181818181815
Aguaí (SP),SP,0.6499811783333324,0.47878787878787876
Agudos (SP),SP,0.9213899631748471,0.9030303030303031
Aimorés (MG),MG,0.959836210112839,0.7454545454545455
Aiuruoca (MG),MG,0.5559528359508095,0.5393939393939394
Alagoa (MG),MG,0.003128163960911433,-0.05219667262143741
Alambari (SP),SP,0.2754743923641496,0.22424242424242424
Alcinópolis (MS),MS,0.2797083738329614,0.38924947208076144
Alexânia (GO),GO,-0.4587881653956441,-0.4995967236623295
Alfenas (MG),MG,0.850330010160685,0.6
Almenara (MG),MG,0.9253340386751356,0.41818181818181815
Alpercata (MG),MG,0.880630703176274,0.8466580400786594
Alpinópolis (MG),MG,0.6557507964085907,-0.15151515151515152
Alta Floresta (MT),MT,-0.4657335852813935,-0.683349073208448
Altair (SP),SP,0.9935798503560419,0.9393939393939394
Alterosa (MG),MG,-0.3840056889267218,-0.6
Altinópolis (SP),SP,0.6497708177340208,0.5515151515151515
Alto Alegre (SP),SP,0.9592685817866685,0.9515151515151515
Alto Araguaia (MT),MT,0.36544302517220734,0.40606060606060607
Alto Caparaó (MG),MG,0.4320444968573557,0.3333333333333333
Alto Garças (MT),MT,-0.0323898121798659,0.5393939393939394
Alto Horizonte (GO),GO,-0.11453604826610073,0.1393939393939394
Alto Jequitibá (MG),MG,-0.2259055159622566,-0.03647433262080387
Alto Paraná (PR),PR,0.5960874424601817,0.3939393939393939
Alto Paraíso (PR),PR,0.39763995209718905,0.31890575373516844
Alto Paraíso de Goiás (GO),GO,-0.8194321322530826,-0.812776759390954
Alto Piquiri (PR),PR,0.4272863871157003,0.4061811972299616
Alto Rio Doce (MG),MG,0.7622113427809339,0.7212121212121212
Alto Taquari (MT),MT,-0.42451126462528666,-0.2727272727272727
Alumínio (SP),SP,0.7677973096254836,0.3404271044608361
Alvarenga (MG),MG,0.592115879746223,0.6484848484848484
Alvinópolis (MG),MG,0.29663693374687333,0.6606060606060606
Alvorada de Minas (MG),MG,0.6239575252732106,0.5878787878787879
Alvorada do Norte (GO),GO,-0.31810001399998444,-0.6934700791133828
Alvorada do Sul (PR),PR,0.8443728368486318,0.6848484848484848
Além Paraíba (MG),MG,0.9450497777282041,0.8986463755309779
Amambai (MS),MS,0.5086987773034012,0.3696969696969697
Amaporã (PR),PR,0.9294599850744877,0.5272727272727272
Amaralina (GO),GO,0.7971376824494758,0.7212121212121212
Americana (SP),SP,0.99034085480846,0.9151515151515152
Americano do Brasil (GO),GO,0.9940580919966622,0.937436866561092
Amorinópolis (GO),GO,-0.6949929666965685,-0.7680367542868648
Amparo (SP),SP,0.6653940565491667,0.7090909090909091
Amparo do Serra (MG),MG,0.33219583034366373,0.15151515151515152
Ampére (PR),PR,-0.3485777435241959,-0.34545454545454546
Américo Brasiliense (SP),SP,0.7757841030964994,0.6606060606060606
Américo de Campos (SP),SP,0.9102857801552015,0.7696969696969697
Anahy (PR),PR,0.3647439825582921,0.3090909090909091
Analândia (SP),SP,0.6136323516812403,0.5151515151515151
Anastácio (MS),MS,-0.6402506408993573,-0.5878787878787879
Anaurilândia (MS),MS,0.5287205263570358,-0.21166451001966485
Andirá (PR),PR,0.6602196456004837,-0.06666666666666667
Andradas (MG),MG,-0.2471343961884804,-0.1393939393939394
Andradina (SP),SP,0.8970673060825018,0.7818181818181819
Andrelândia (MG),MG,0.9434873757603274,0.8909090909090909
Angatuba (SP),SP,-0.27564788097687765,-0.27609440361293197
Angelândia (MG),MG,0.43869259281589956,0.3333333333333333
Angélica (MS),MS,-0.017854133795216914,-0.030303030303030304
Anhanguera (GO),GO,-0.6800430716336404,-0.5272727272727272
Anhembi (SP),SP,0.9205502977424612,0.7575757575757576
Anhumas (SP),SP,0.8369832485493219,0.6121212121212121
Anicuns (GO),GO,0.6529598752571727,0.07878787878787878
Antonina (PR),PR,0.21523207268598024,0.17575757575757575
Antônio Carlos (MG),MG,-0.3738696604419732,-0.05454545454545454
Antônio Dias (MG),MG,0.917676365907801,0.3939393939393939
Antônio Prado de Minas (MG),MG,0.9959707049066889,0.8666666666666667
Anápolis (GO),GO,-0.3118588981792834,-0.4061811972299616
Aparecida d'Oeste (SP),SP,0.9241233810489682,0.806060606060606
Aparecida de Goiânia (GO),GO,-0.2736374901715516,-0.17575757575757575
Aparecida do Taboado (MS),MS,0.5528190486668839,0.5272727272727272
Apiacás (MT),MT,-0.46651003414250125,-0.6227991553292184
Aporé (GO),GO,0.9146320451508284,0.6121212121212121
Apucarana (PR),PR,-0.5316969724688374,-0.6484848484848484
Aquidauana (MS),MS,-0.5771870014056961,-0.5636363636363636
Aracitaba (MG),MG,0.9214392631904279,0.8545454545454545
Aragarças (GO),GO,0.8619591699978593,0.7696969696969697
Aragoiânia (GO),GO,-0.10912261232498555,-0.10334394242561097
Araguainha (MT),MT,0.699627508687826,0.5515151515151515
Araguari (MG),MG,0.039128409987449236,-0.5878787878787879
Aramina (SP),SP,0.905658607968618,0.9636363636363636
Arandu (SP),SP,-0.22719700290519354,-0.12727272727272726
Arantina (MG),MG,0.8255389326639111,0.7333333333333333
Arapeí (SP),SP,0.8647821378139381,0.7090909090909091
Araponga (MG),MG,-0.5135745724412745,-0.4303030303030303
Arapongas (PR),PR,-0.34718146508752107,-0.28484848484848485
Araporã (MG),MG,0.8576937298928474,0.6242424242424243
Arapoti (PR),PR,0.23607881441290643,0.2
Araputanga (MT),MT,0.28397711545583887,0.696969696969697
Arapuã (PR),PR,-0.20486948460766502,0.07878787878787878
Araraquara (SP),SP,0.9392447959367302,0.8545454545454545
Araras (SP),SP,0.9519429424546921,0.9636363636363636
Araruna (PR),PR,0.17624777050492482,0.11515151515151516
Araxá (MG),MG,0.895535465319581,0.47878787878787876
Araçatuba (SP),SP,0.8921986171295938,0.8424242424242424
Araçaí (MG),MG,0.9771286244291074,0.683349073208448
Araçoiaba da Serra (SP),SP,-0.7321409439857058,-0.6848484848484848
Araçu (GO),GO,0.9714316917033363,0.781631749350903
Araçuaí (MG),MG,-0.47051968258538146,-0.34545454545454546
Araújos (MG),MG,0.838487007583728,0.806060606060606
Arceburgo (MG),MG,0.9597977830070562,0.7818181818181819
Arco-Íris (SP),SP,0.8336148920412066,0.7575757575757576
Arcos (MG),MG,0.8840688622511901,0.8909090909090909
Areado (MG),MG,0.87264287823092,0.8303030303030303
Arealva (SP),SP,0.8133728592400973,0.806060606060606
Areias (SP),SP,0.5646965723616577,0.5636363636363636
Areiópolis (SP),SP,0.943823018111046,0.8909090909090909
Arenápolis (MT),MT,0.47200976336276734,0.7454545454545455
Arenópolis (GO),GO,-0.32656691519914705,-0.2526318345396
Argirita (MG),MG,0.7400136188788523,0.6934700791133828
Aricanduva (MG),MG,-0.3074426810641501,-0.5757575757575758
Arinos (MG),MG,0.40793863073940617,0.5393939393939394
Aripuanã (MT),MT,0.7708957643289827,0.9151515151515152
Ariranha (SP),SP,0.853050599398296,0.9272727272727272
Ariranha do Ivaí (PR),PR,0.07355837778033848,0.0259499648053841
Artur Nogueira (SP),SP,0.9268022823919408,0.8787878787878788
Aruanã (GO),GO,0.5515197843432941,0.5222329678670935
Aspásia (SP),SP,0.9749880079573847,0.9878787878787879
Assaí (PR),PR,0.4765781009918009,0.6121212121212121
Assis (SP),SP,0.5590398260804693,0.3696969696969697
Assis Chateaubriand (PR),PR,-0.10917636691371083,-0.01818181818181818
Astolfo Dutra (MG),MG,0.9849629733662226,0.9442111532158908
Astorga (PR),PR,0.5666669947181903,0.41818181818181815
Atalaia (PR),PR,0.2661706371893883,0.3333333333333333
Ataléia (MG),MG,0.9492997694663956,0.22424242424242424
