Cidade,uf,share_cana_mean,share_cana_median,solos_pipeline_total,solos_cana_atribuivel_total,n_anos
Abadia de Goiás (GO),GO,0.003527904876333873,0.0024920054782892965,13365.00411191504,49.657852530658,10
Abadia dos Dourados (MG),MG,0.0003966123018068427,0.0004674637255501088,83501.9651920521,34.688961854333165,10
Abadiânia (GO),GO,0.0,0.0,97310.66405655892,0.0,10
Abaeté (MG),MG,0.011366062395819386,0.010817149826691217,96603.1400534445,1100.7666524628478,10
Abatiá (PR),PR,0.02994025274076016,0.02863193586598166,143135.25623434456,3932.137956543303,10
Abre Campo (MG),MG,0.016245154333998316,0.018803811822642274,48212.167321110435,772.5457306604604,10
Acaiaca (MG),MG,0.023303302136211623,0.02046539018094646,7455.780500268311,175.77792968940207,10
Acorizal (MT),MT,0.0018451008317969214,0.0018195517554683717,25419.26815391275,47.63905951213128,10
Acreúna (GO),GO,0.13843055146202587,0.1450694779796533,1752855.7612823115,234176.56526299403,10
Adamantina (SP),SP,0.35985878084540557,0.35885683435587834,222228.2777684833,79877.28561101363,10
Adelândia (GO),GO,0.0,0.0,11689.100691093852,0.0,10
Adolfo (SP),SP,0.3586341335309584,0.36361267984185164,135201.87073504255,48366.79924020157,10
Adrianópolis (PR),PR,0.021975630533581727,0.02109989864788161,71801.1707882813,1554.8513990643564,10
Aguanil (MG),MG,0.009975353141698933,0.006217871445864715,37271.66645004024,402.1308285329849,10
Aguaí (SP),SP,0.27991792201543203,0.27943638008454963,320213.3744971568,89458.51823339413,10
Agudos (SP),SP,0.3377392637672182,0.3337769922357796,209725.76049788436,71088.78428040813,10
Agudos do Sul (PR),PR,0.0,0.0,71071.97773572634,0.0,10
Aimorés (MG),MG,0.0012600538523353595,0.0010730178563508452,92394.48318438606,118.92275908382386,10
Aiuruoca (MG),MG,0.005360338258199109,0.00617729493425776,38844.64080027994,211.16811374573987,10
Alagoa (MG),MG,0.0035922401565969394,0.0,3283.384744677406,11.767591940979901,10
Alambari (SP),SP,0.09665216443220134,0.11040212381960199,45185.161817848646,4357.195194200481,10
Albertina (MG),MG,0.0,0.0,5514.73938880479,0.0,10
Alcinópolis (MS),MS,0.0030427740619586798,0.0,333742.85660375544,1067.232053040076,10
Alexânia (GO),GO,0.00294401302150228,0.0,109547.13510855752,256.78249132810106,10
Alfenas (MG),MG,0.05805186767423518,0.056529026993238245,476238.96495655127,28989.095904215752,10
Alfredo Marcondes (SP),SP,0.0,0.0,11709.869332265122,0.0,10
Alfredo Vasconcelos (MG),MG,0.0,0.0,9178.65295421175,0.0,10
Almenara (MG),MG,0.005563900455716553,0.002624736426164066,60749.00897840306,365.66383935279515,10
Almirante Tamandaré (PR),PR,0.0,0.0,23541.215461584477,0.0,10
Aloândia (GO),GO,0.0,0.0,31827.86905721107,0.0,10
Alpercata (MG),MG,0.002734587314987473,0.0,14370.74079954991,45.146519689905936,10
Alpinópolis (MG),MG,0.04816083446711603,0.0438947472323743,125643.80079936956,6129.6337888352355,10
Alta Floresta (MT),MT,5.502217167072335e-06,0.0,812007.9161140712,2.3837252902745396,10
Altair (SP),SP,0.38801301371384095,0.3835658631803304,424739.78499939264,167806.50249435913,10
Altamira do Paraná (PR),PR,0.0,0.0,43269.802041954994,0.0,10
Alterosa (MG),MG,0.028358434435034663,0.02726858135965017,90581.61289344412,2537.8529553168737,10
Altinópolis (SP),SP,0.3515633080649011,0.35077186488136713,477311.8171430523,167946.69840413323,10
Alto Alegre (SP),SP,0.3590227009198923,0.3604374849400749,202506.11415375225,73107.37128063585,10
Alto Araguaia (MT),MT,0.044650694407419034,0.04161787439476497,1053914.5658215615,47240.975655189584,10
Alto Boa Vista (MT),MT,0.0,0.0,399252.92267398397,0.0,10
Alto Caparaó (MG),MG,0.0014627004637196063,0.0015161376753829235,9724.125410181734,14.311166297623398,10
Alto Garças (MT),MT,2.7150394585397887e-05,2.3370723023730678e-05,1239790.5449417091,32.59969562385207,10
Alto Horizonte (GO),GO,0.0009471444104538443,0.0010882217805075907,26948.974357610852,25.43720751245273,10
Alto Jequitibá (MG),MG,0.00131986499536822,0.0015733716359405962,19261.99282553323,24.94339243160133,10
Alto Paraguai (MT),MT,0.0,0.0,139236.5093987639,0.0,10
Alto Paraná (PR),PR,0.09353813543582698,0.0931635306669221,163628.89569055554,15236.5689636193,10
Alto Paraíso (PR),PR,0.013319638467330827,0.01676942193219687,86495.66897151487,1174.4372870491088,10
Alto Paraíso de Goiás (GO),GO,0.00015793460311054112,0.0,184389.08396410334,16.42831429228393,10
Alto Piquiri (PR),PR,0.003452050863920251,0.0,381788.55820979585,1603.1468860070445,10
Alto Rio Doce (MG),MG,0.036760352765885164,0.03409401000951745,58087.87586555543,2162.41218459771,10
Alto Taquari (MT),MT,0.07423215047131146,0.07072736625953335,4033546.3050285126,287286.8042223366,10
Altônia (PR),PR,0.0,0.0,90417.11768892391,0.0,10
Alumínio (SP),SP,0.016267627430947885,0.019781841188241243,4062.413657592497,68.73279600396867,10
Alvarenga (MG),MG,0.003818371791173155,0.0037381206285087196,16073.077811061934,61.37290318852802,10
Alvinlândia (SP),SP,0.0,0.0,10217.50499773413,0.0,10
Alvinópolis (MG),MG,0.019729585323422283,0.018928096745297635,30719.271934787776,605.2665961766761,10
Alvorada de Minas (MG),MG,0.011581394918451213,0.012907168991837116,10899.10678225423,128.78642290591924,10
Alvorada do Norte (GO),GO,0.0008374691212558336,0.0,66656.9026217154,51.92256146718732,10
Alvorada do Sul (PR),PR,0.023011912314515263,0.02173368599893742,373834.36541496817,9165.274177382986,10
Além Paraíba (MG),MG,0.00274757171695529,5.5293008724197255e-05,25936.090375440133,77.32354585715595,10
Amambai (MS),MS,0.008569346033846481,0.008615471124010019,1240702.192504311,10451.436758858323,10
Amaporã (PR),PR,0.11169629705994985,0.1124373165560724,395522.39652769524,43244.231448139646,10
Amaralina (GO),GO,0.0003903333301072262,0.0004421212325682969,87390.35919209603,35.00743046736233,10
