Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Abadia de Goiás (GO),GO,2012,1439.7043403499551,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2013,1246.9672776160062,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2014,984.7938566311875,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2015,1167.0880786744788,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2016,1160.7218908010623,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2017,833.3615378269893,1.5391671285263133,1.5421168192041665,3.08128394773048,0.003697415596794884
Abadia de Goiás (GO),GO,2018,827.9320871463617,1.2233674200302487,1.1502605134576127,2.373627933487861,0.0028669355498336323
Abadia de Goiás (GO),GO,2019,977.233415817511,6.224046936737902,6.444640610845605,12.668687547583506,0.012963829667025285
Abadia de Goiás (GO),GO,2020,990.4979807105352,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2021,1484.4684548858786,0.0,0.0,0.0,0.0
Abadia de Goiás (GO),GO,2022,1812.2594695924276,7.62167016616134,7.429710950004924,15.051381116166263,0.008305312439366797
Abadia de Goiás (GO),GO,2023,2422.1926778862385,6.653707484249666,6.252898006887786,12.906605491137451,0.005328480103573175
Abadia de Goiás (GO),GO,2024,1689.248518573557,1.8265079368528496,1.7497585576995864,3.576266494552436,0.002117075406744961
Abadia dos Dourados (MG),MG,2012,7175.022228580002,0.0,0.0,0.0,0.0
Abadia dos Dourados (MG),MG,2013,7517.165489351932,0.0,0.0,0.0,0.0
Abadia dos Dourados (MG),MG,2014,6241.879753854028,0.0,0.0,0.0,0.0
Abadia dos Dourados (MG),MG,2015,5873.4255241227465,0.0,0.0,0.0,0.0
Abadia dos Dourados (MG),MG,2016,6359.984364658538,0.0,0.0,0.0,0.0
Abadia dos Dourados (MG),MG,2017,7793.361799718269,2.4314081643931367,1.969830868820695,4.401239033213832,0.0005647420389712867
Abadia dos Dourados (MG),MG,2018,8063.076784335027,2.4218734696297304,1.9508286520606148,4.372702121690345,0.0005423118542273647
Abadia dos Dourados (MG),MG,2019,7717.318284524809,2.3581154483159508,2.081765899600184,4.439881347916135,0.0005753140124878909
Abadia dos Dourados (MG),MG,2020,8305.703871712347,2.5937202223887827,2.2051485055305937,4.798868727919377,0.0005777798970492331
Abadia dos Dourados (MG),MG,2021,9218.589163491335,2.6308052955415873,2.182732390057416,4.8135376855990035,0.0005221555706877801
Abadia dos Dourados (MG),MG,2022,9277.736331559932,2.0824069558200478,1.7471817157287362,3.829588671548784,0.0004127718804124376
Abadia dos Dourados (MG),MG,2023,9985.134642083423,2.2094100276441977,1.8729996508157336,4.082409678459931,0.00040884873612561783
