event_time,ATT,SE,CI_lo,CI_hi,zero_not_in_cband,outcome,spec,n_munis
-4,0.016717118860596136,0.02467441226878615,-0.031643840525917954,0.06507807824711023,,asinh_luc,FULL2,842
-3,0.022005020328701424,0.0327322105278313,-0.04214893344023071,0.08615897409763357,,asinh_luc,FULL2,842
-2,-0.0027833851513340622,0.0318141907823855,-0.0651380532820958,0.05957128297942769,,asinh_luc,FULL2,842
-1,0.02032369817647497,0.03586736816774527,-0.04997505165254415,0.0906224480054941,,asinh_luc,FULL2,842
0,-0.027058555409376205,0.03910112104174895,-0.10369534440634542,0.04957823358759301,,asinh_luc,FULL2,842
1,0.0376159301467746,0.038158756089708486,-0.03717385748390249,0.11240571777745169,,asinh_luc,FULL2,842
2,-0.017447679497403838,0.047029494747966305,-0.10962379541453342,0.07472843641972575,,asinh_luc,FULL2,842
3,-0.01650387911561402,0.043775552737565046,-0.10230238588457527,0.06929462765334723,,asinh_luc,FULL2,842
4,-0.04454175429816316,0.06277820919369871,-0.16758478333173393,0.07850127473540763,,asinh_luc,FULL2,842
5,-0.21469654166312235,0.12495963852351819,-0.45961293269036185,0.030219849364117174,,asinh_luc,FULL2,842
-4,0.043374885806674014,0.031233739698276013,-0.017842119104445907,0.10459189071779393,,asinh_carbono_solo,FULL2,842
-3,0.01703932605525492,0.034966696232420595,-0.05149413921864185,0.08557279132915169,,asinh_carbono_solo,FULL2,842
-2,0.008571476653715056,0.032136392845826485,-0.05441469591713551,0.07155764922456562,,asinh_carbono_solo,FULL2,842
-1,0.00838206995887223,0.034703313650212474,-0.05963517493974146,0.07639931485748591,,asinh_carbono_solo,FULL2,842
0,-0.02910912277442993,0.04050487325801501,-0.10849721555849892,0.05027897000963905,,asinh_carbono_solo,FULL2,842
1,0.04669141812886427,0.04051360759790887,-0.0327137936468254,0.12609662990455395,,asinh_carbono_solo,FULL2,842
2,-0.030358198239559847,0.052391204667308705,-0.1330430724941517,0.072326676015032,,asinh_carbono_solo,FULL2,842
3,0.009702668366261658,0.046705487308556684,-0.08183840463890203,0.10124374137142535,,asinh_carbono_solo,FULL2,842
4,0.032340212191755785,0.06556810467399782,-0.09617091150383231,0.16085133588734388,,asinh_carbono_solo,FULL2,842
