model,method,lo,hi,n_in,n_treat_in,n_ctrl_in,pct_treat_in,pct_ctrl_in
LEAN_std,crump_2.5,0.0,0.9527,820,189,631,97.4,97.4
LEAN_std,trim_5_95,0.05,0.95,537,185,352,95.4,54.3
LEAN_std,minmax,0.0089,0.9056,717,185,532,95.4,82.1
LEAN_std,kennedy_1,0.0,0.9073,824,185,639,95.4,98.6
LEAN_lasso,crump_2.5,0.0001,0.9091,820,189,631,97.4,97.4
LEAN_lasso,trim_5_95,0.05,0.95,580,187,393,96.4,60.6
LEAN_lasso,minmax,0.0083,0.8869,763,188,575,96.9,88.7
LEAN_lasso,kennedy_1,0.0,0.8712,824,186,638,95.9,98.5
FULL_std,crump_2.5,0.0,0.9577,820,189,631,97.4,97.4
FULL_std,trim_5_95,0.05,0.95,518,184,334,94.8,51.5
FULL_std,minmax,0.0068,0.9242,716,182,534,93.8,82.4
FULL_std,kennedy_1,0.0,0.9475,824,185,639,95.4,98.6
FULL_lasso,crump_2.5,0.0001,0.9242,820,189,631,97.4,97.4
FULL_lasso,trim_5_95,0.05,0.95,552,187,365,96.4,56.3
FULL_lasso,minmax,0.0083,0.8969,757,185,572,95.4,88.3
FULL_lasso,kennedy_1,0.0,0.9055,824,185,639,95.4,98.6
FULL2_std,crump_2.5,0.0005,0.9353,820,189,631,97.4,97.4
FULL2_std,trim_5_95,0.05,0.95,557,188,369,96.9,56.9
FULL2_std,minmax,0.0227,0.882,643,175,468,90.2,72.2
FULL2_std,kennedy_1,0.0002,0.9125,824,185,639,95.4,98.6
FULL2_lasso,crump_2.5,0.0013,0.9007,820,189,631,97.4,97.4
FULL2_lasso,trim_5_95,0.05,0.95,598,186,412,95.9,63.6
FULL2_lasso,minmax,0.0368,0.8199,630,173,457,89.2,70.5
FULL2_lasso,kennedy_1,0.0004,0.8713,824,185,639,95.4,98.6
RICH_std,crump_2.5,0.0,0.9884,820,189,631,97.4,97.4
RICH_std,trim_5_95,0.05,0.95,496,181,315,93.3,48.6
RICH_std,minmax,0.0048,0.9327,712,181,531,93.3,81.9
RICH_std,kennedy_1,0.0,0.9511,824,185,639,95.4,98.6
RICH_lasso,crump_2.5,0.0001,0.9595,820,189,631,97.4,97.4
RICH_lasso,trim_5_95,0.05,0.95,550,184,366,94.8,56.5
RICH_lasso,minmax,0.0113,0.8727,719,179,540,92.3,83.3
RICH_lasso,kennedy_1,0.0,0.9158,824,185,639,95.4,98.6
